;x;y;xerr;yerr
29;20847.443950819797;0.7639689300927086;0.0029578753418726994;0.025090425175039066
28;20888.402830220293;0.6193921852387844;0.0032832373883732264;0.0251846799956484
27;20926.113771811608;0.6866116460339294;0.0023901175781792885;0.02312999860092846
26;20965.576707084194;0.9919110212335692;0.0029678001629592212;0.026838298194551344
25;21008.532399740765;1.4356309650053023;0.002246617470671176;0.027193220632082096
24;21048.182205796016;3.313443072702332;0.002610066666056622;0.03856326184402305
23;21087.43127076373;2.999158071984845;0.002261346476466179;0.03576075665235099
22;21128.81051816604;4.058489494605338;0.0020959999421123095;0.038357201548242216
21;21169.80955488011;3.4371269015983055;0.0023741851186380647;0.036312583720922546
20;21209.385163154853;2.385081081081081;0.0025867912132550757;0.03325776942369282
19;21249.12690142878;1.4582427817447998;0.0032128981604707335;0.034254597078410026
18;21290.09412639591;1.1098140087059756;0.0024165971777561413;0.024553229325030096
17;21330.441371738332;0.7554851292052657;0.002747886752382699;0.024715651594646986
16;21371.07021440727;1.0583450210378682;0.0032160769048841867;0.028698693153776385
15;21411.835205420037;1.0034129692832765;0.0024321707333430096;0.0240800641337131
14;21452.88699774144;1.026100086281277;0.0023895732255060295;0.02511070611272591
13;21492.479804296407;2.4621403912543154;0.0027798296533998825;0.034725393845145086
12;21529.959436925874;3.7250166186572127;0.0025675868976003952;0.04004588087171019
11;21572.820220247562;5.24822373393802;0.0017474701418752753;0.037793701672428244
10;21613.629025048904;4.490156143923965;0.0020556170816906786;0.03763074921133047
9;21651.466118517747;3.558612975391499;0.0026313173172627653;0.03908993305726479
8;21694.00573123632;2.0513879330121587;0.002894991102458615;0.03253023061694484
7;21733.275750316432;1.1824048182404818;0.002452145555932919;0.02635117948785826
6;21774.775459298395;0.8470386686245717;0.002725981289448095;0.025062458298442815
5;21814.11748692014;0.9423240033927057;0.0030482813266043667;0.02752115771282027
4;21855.50299142521;0.7384396007333469;0.002509562597743936;0.022310796521798477
3;21896.34885732618;0.7830838679021145;0.002880671577206168;0.02454296273632445
2;21936.764642761325;0.7857914640734738;0.0030222589985355397;0.026042910989050334
1;21974.456534277124;0.5175049309664694;0.002794129760113395;0.02228936443526404
0;22003.71339341946;0.87252276379218;0.002023487763331243;0.037175290308148465
