;x;y;xerr;yerr
101;-18594.50587346678;0.46153846153846156;0.40295608116053067;0.27696689413105324
100;-18563.41216252464;0.6377840909090909;0.017037640302511637;0.05689787322935969
99;-18525.41990771817;0.5186440677966102;0.014258195727304654;0.04870115810784941
98;-18486.11527689462;0.45098039215686275;0.013420248920898405;0.04497983958163249
97;-18446.526482144713;0.6594650205761317;0.013849175664156914;0.048398394898676825
96;-18406.47717265861;0.8559670781893004;0.014008998066247532;0.051861177395247565
95;-18365.214800161826;0.9210245464247598;0.01385102270798554;0.05418063300225808
94;-18325.199843610626;0.5737179487179487;0.013690643687332187;0.047812213897619034
93;-18284.74850957347;0.6937431394072447;0.01466084870610086;0.05100000462960959
92;-18246.024993685936;0.7642706131078224;0.013761220833632907;0.05121894808269124
91;-18205.595799285347;0.6614872364039955;0.013864669174275387;0.050544236349501004
90;-18164.849262641288;1.152917505030181;0.012794256646358809;0.056150197206809783
89;-18124.169746285053;0.6811751904243744;0.013821906869562488;0.050577869421524896
88;-18083.719335582548;0.5752212389380531;0.013355532293549697;0.04891811953280357
87;-18043.083551107928;0.6980728051391863;0.013673538480362632;0.050515810389021795
86;-18003.29647760457;0.7439824945295405;0.014228254315125175;0.05196525951074077
85;-17963.72337081854;0.8020942408376963;0.013052302181904354;0.051753180938052055
84;-17923.092883139387;0.9211065573770492;0.012743751049737712;0.052993953239497266
83;-17882.031973951725;0.5711086226203808;0.013707543674655476;0.049152961907423534
82;-17842.200245995555;0.7028824833702882;0.01445316090870499;0.05172093802366714
81;-17802.443864807672;0.95361380798274;0.013353508296697684;0.05494182527640239
80;-17762.32651681354;0.7838676318510859;0.01357071362139984;0.051008931444116036
79;-17721.80417206002;0.6951871657754011;0.014692688130556308;0.05094360502539466
78;-17687.401592383416;0.998997995991984;0.012270682608199206;0.05460686888703829
77;-17634.716457098915;1.3815201192250373;0.015026516549417007;0.072980479757362
76;-17603.08292399819;1.2553588070829451;0.0119057337276547;0.05602530986426851
75;-17562.944399728578;1.2795698924731183;0.011066617785849851;0.05529424461728708
74;-17522.90763127771;1.4017857142857142;0.012497703675645516;0.059865752316172464
73;-17482.119577839054;1.5729571984435797;0.012237330978820323;0.06159048845631472
72;-17440.80032341282;1.3897131552917903;0.012435858344742296;0.06031203497760145
71;-17400.473017234508;2.450479233226837;0.010013215123896847;0.06635122673720942
70;-17357.92496918974;4.67565745111261;0.00839945798101518;0.07706928462896726
69;-17317.689632966194;12.684791496320523;0.005000044761794935;0.08978531487365378
68;-17278.92598255943;17.641360544217687;0.0034071335458507857;0.0843736756705721
67;-17239.761167461093;23.742801625154566;0.0022162325067426204;0.0772429017090241
66;-17200.956225803795;30.222851260936697;0.0023391456505575457;0.08424231157161412
65;-17162.300546656148;20.37644151565074;0.00382117789505904;0.08988907081360635
64;-17122.345987271692;8.35117773019272;0.007322524065276431;0.08676057865033217
63;-17080.34029570245;3.2033492822966507;0.010749344466940076;0.07283010507252825
62;-17039.06545971483;1.996415770609319;0.011632382150324725;0.06545609768819853
61;-16998.46712962412;1.9785046728971962;0.011985509465525;0.06579026824273876
60;-16957.443835471433;1.96;0.011429670118562623;0.06590462327019526
59;-16917.953446861917;1.7679245283018867;0.011931902498325176;0.0639959133428927
58;-16878.86460586719;2.3773087071240107;0.011673752840861992;0.06862279148435126
57;-16837.990872077557;3.2937853107344632;0.010338533801175036;0.07413091376244421
56;-16796.889485692016;3.7548248749106503;0.00922465298510016;0.07379998056886831
55;-16756.730192609506;6.607502799552072;0.007208635392724924;0.08092555762852034
54;-16716.58991110297;14.392626377803117;0.004888540758010845;0.09089994878407774
53;-16674.984146350474;25.25039287585123;0.0036509208807917366;0.0957318628476548
52;-16635.34379133315;26.33810660302307;0.0029418083486926175;0.08539418529215133
51;-16598.997568995794;32.84335378323108;0.0019309896664879685;0.0779025091428908
50;-16558.721376359328;23.977464788732394;0.0011981604533215808;0.05831915641467585
49;-16519.77486119457;20.43834141087776;0.0034881951785283695;0.08915229094532859
48;-16478.774250034607;8.673724735322425;0.006291269183058102;0.08407017035361886
47;-16437.15867956851;4.296827794561934;0.0097177395155711;0.07939163653639511
46;-16395.881200745418;3.1988993710691824;0.009969523891479707;0.07203375676840253
45;-16356.664794623652;2.119815668202765;0.011637374526983555;0.06683695055458025
44;-16313.574758302959;1.3941120607787274;0.01242048179851817;0.0589633387289907
43;-16273.427473369658;1.3436563436563436;0.013361130574600774;0.059752505471951246
42;-16233.902044286664;1.5131048387096775;0.013125109261910092;0.0626378252769882
41;-16194.403694887815;1.410484668644906;0.012987745536473439;0.06009275027122743
40;-16153.8569492767;1.571703561116458;0.012423447943909708;0.06102839947583789
39;-16113.569397530058;1.4016064257028114;0.012914198148651192;0.06086227006839472
38;-16072.34546437291;1.3551020408163266;0.013120780808659815;0.060635306609887946
37;-16033.264879294322;1.3444656488549618;0.012618073161607186;0.05848006339819542
36;-15991.304262400945;1.3306693306693307;0.012559764289167547;0.05935820355762252
35;-15951.828485622189;1.3423799582463465;0.013355571725797639;0.06129025255848826
34;-15912.345776308179;1.6196754563894524;0.01307783820681404;0.06433016801001071
33;-15872.19088155305;2.2541630148992113;0.011798966355450973;0.06660986745000134
32;-15831.929829598004;5.461993243243243;0.010723495382118092;0.08777740269112348
31;-15792.027136841352;3.0673534072900157;0.0102297503888245;0.07167927870230488
30;-15753.052299646015;4.266848196051736;0.008305356718265568;0.07565628797136428
29;-15710.456591021239;6.144230769230769;0.00773239950480049;0.08170564195085729
28;-15671.664107292512;8.87324581258488;0.005737991286153701;0.08220097794779767
