;x;y;xerr;yerr
75;-14155.282353402135;0.22996515679442509;0.013208126621554414;0.05053807827654985
74;-14117.81582479555;0.6196319018404908;0.014973383951361057;0.05146716094654118
73;-14083.415673753;0.9483614697120158;0.01050781725217956;0.051747960202521946
72;-14037.479805426752;0.49014778325123154;0.012247888653554737;0.05033045862537014
71;-13994.317117742032;0.4077328646748682;0.011914321644731364;0.03931688427309155
70;-13959.3427448176;0.39493136219640973;0.011339097130051108;0.04280195495804674
69;-13920.526438160681;0.2507987220447284;0.008654628254040326;0.03438372220257297
68;-13875.028655805767;0.7207100591715976;0.014721023606414141;0.05442075673279428
67;-13837.167506993643;0.32894736842105265;0.013828502416431715;0.04742127216164917
66;-13788.467553624672;0.7721774193548387;0.010995750221155023;0.049326258640033725
65;-13756.034099816165;0.3888111888111888;0.013648891787446897;0.04976042583483376
64;-13707.535322154918;0.22525252525252526;0.01210580945183356;0.03854461611328951
63;-13669.01330785792;0.3134948096885813;0.006066264149155346;0.033136657101598466
62;-13626.428547608819;0.6261467889908257;0.009695246934816631;0.042171520015733176
61;-13583.325758232746;0.42857142857142855;0.010161351966917304;0.041904917483555966
60;-13545.247210245467;0.9158415841584159;0.009255197537901372;0.04744715968641686
59;-13507.452454713031;0.34968017057569295;0.013003966596603033;0.042232496029666666
58;-13470.73330344517;0.5593495934959349;0.008776852388819418;0.04029183478153259
57;-13428.593898382791;0.3314203730272597;0.008160001713131526;0.03407492758303446
56;-13387.593105849624;0.2839506172839506;0.00865662874693012;0.03557654479296327
55;-13347.119353408676;0.3048780487804878;0.010021660678576993;0.04061583615030138
54;-13304.516665896506;0.7656903765690377;0.008046263073497015;0.04032210106691224
53;-13264.761216332123;1.0573689416419387;0.009563777068244315;0.05355629302002288
52;-13224.607460094636;1.7927656367746798;0.009495920577556044;0.05589213425928438
51;-13183.704442658358;2.714576962283384;0.00556014574651573;0.053333565943021875
50;-13142.694578193245;4.131766381766382;0.00935899398199874;0.07450962588578283
49;-13098.589679307463;6.856467808623745;0.007540764409674809;0.08226616804042838
48;-13058.939506361383;5.914526129317981;0.005797692100461861;0.06700241913935098
47;-13016.948468612483;4.213953488372093;0.008744650947041474;0.07889181619305573
46;-12979.267934570902;2.367099567099567;0.009326253367823471;0.06532944197606566
45;-12937.317408374996;0.9268897149938042;0.007357143648875251;0.039947761865455
44;-12895.917262700985;0.6682119205298013;0.00701678603547281;0.038285840324693635
43;-12855.380344943436;1.489344909234412;0.010303180111005781;0.05340052983661582
42;-12812.703944984938;0.6755905511811023;0.010156188432384838;0.04260181827208434
41;-12772.277479362148;1.5453087409783481;0.00991170255189397;0.05557762365869023
40;-12732.238811455083;3.7567370721048796;0.008536732690557684;0.07269511342820403
39;-12687.219972902254;5.6233207952713595;0.00642809952746065;0.07318710579152445
38;-12651.052942379249;6.403726708074534;0.005706561811593789;0.06958238065206362
37;-12612.39081635772;9.759508484493857;0.0033566734156903017;0.06791169493817124
36;-12568.224430211902;9.56804979253112;0.004596680807689779;0.07964742615280847
35;-12533.11000347585;5.100840336134453;0.005853171475715458;0.06929916824425947
34;-12486.866861027383;1.4646271510516253;0.012315642070649734;0.05816944614149388
33;-12445.716376491084;0.8466147393648892;0.0063769393625908565;0.03848312371762212
32;-12407.969875282317;0.9213583556747096;0.01133455097184784;0.04976931710366276
31;-12367.431441646168;0.5336734693877551;0.010815032851781313;0.04492812657175835
30;-12323.361514196438;0.4759568204121688;0.009924080976154359;0.04212008557198185
29;-12284.766802728594;0.5548245614035088;0.008211997364676567;0.039234896733031197
28;-12246.209755701655;0.8470824949698189;0.011193424057026146;0.050198464033085824
27;-12204.44905406496;0.5933609958506224;0.006633916748982223;0.03565735655465743
26;-12165.404439556456;0.8523936170212766;0.008024437053498128;0.041082201873801245
25;-12119.710157061534;1.1724754244861484;0.012063755238407642;0.05296612113986538
24;-12081.552496112727;0.6496519721577726;0.008859727082143425;0.04174412246675882
23;-12039.952683411379;0.6437710437710438;0.00813692144652202;0.03836328782238869
22;-11996.957264243485;1.0946166394779773;0.009637356988499745;0.049497377603888656
21;-11954.565523470334;1.3957115009746588;0.0077580117215381396;0.04807275719216635
20;-11917.155220010625;3.188720173535792;0.008384504450972607;0.06768470516989046
19;-11876.95560372841;5.9360764144011755;0.008176829071130293;0.08807626388764499
18;-11834.860037103035;8.849683544303797;0.004567999053917257;0.07591633509738166
17;-11790.930081230776;13.964028776978417;0.0034344574124965783;0.08188569575000766
16;-11752.432912771925;17.68294229549778;0.004077517841522816;0.09113918046793043
15;-11715.342248549661;10.273047858942066;0.006125704696010975;0.09053292146543694
14;-11672.050004668059;4.692264573991031;0.005844951542660399;0.06953733600371294
13;-11634.574570342851;1.545;0.009251966845135509;0.05238050559254196
12;-11591.320671242516;1.584717607973422;0.007254676608153758;0.05043208871481735
11;-11551.323180723315;0.9858490566037735;0.008654833165340197;0.04605959488323721
10;-11509.157422669297;0.5217041800643086;0.0103605154193316;0.039994812044091596
9;-11466.042241457353;0.5525606469002695;0.009971694964363372;0.04371657074865819
8;-11425.255610429567;0.3254262416604892;0.006737808631898548;0.03536439323160546
7;-11389.145580933746;0.7071197411003236;0.009665456678374266;0.0427143350342605
6;-11343.311289561514;0.5122349102773246;0.009095479579479466;0.03949759054119481
5;-11302.437988428217;0.819811320754717;0.011023647688737594;0.04844948421925213
4;-11260.484680885731;0.0939524838012959;0.010478311826306354;0.03603151782739064
3;-11216.286679962308;1.640251572327044;0.013103676403904954;0.06934948719827795
2;-11186.633413057749;0.30648769574944074;0.011731794649063189;0.041829422571117506
1;-11144.203818617894;0.355225988700565;0.009236604623248993;0.034125494842902
0;-11107.196819137393;0.2593516209476309;0.020246438935907766;0.06090644153386748
